Country Name,Country Code,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,36686784.0,37769499.0,38972230.0,40099462.0,41128771.0,41128771.0
Africa Eastern and Southern,AFE,649757148.0,667242986.0,685112979.0,702977106.0,720859132.0,720859132.0
Africa Western and Central,AFW,442646825.0,454306063.0,466189102.0,478185907.0,490330870.0,490330870.0
Albania,ALB,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2777689.0
Algeria,DZA,41927007.0,42705368.0,43451666.0,44177969.0,44903225.0,44903225.0
American Samoa,ASM,48424.0,47321.0,46189.0,45035.0,44273.0,44273.0
Andorra,AND,75013.0,76343.0,77700.0,79034.0,79824.0,79824.0
Angola,AGO,31273533.0,32353588.0,33428486.0,34503774.0,35588987.0,35588987.0
Antigua and Barbuda,ATG,91626.0,92117.0,92664.0,93219.0,93763.0,93763.0
Arab World,ARB,432545676.0,441467739.0,449228296.0,456520777.0,464684914.0,464684914.0
Argentina,ARG,44494502.0,44938712.0,45376763.0,45808747.0,46234830.0,46234830.0
Armenia,ARM,2836557.0,2820602.0,2805608.0,2790974.0,2780469.0,2780469.0
Aruba,ABW,105962.0,106442.0,106585.0,106537.0,106445.0,106445.0
Australia,AUS,24963258.0,25334826.0,25649248.0,25685412.0,26005540.0,26005540.0
Austria,AUT,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,9041851.0
Azerbaijan,AZE,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,10141756.0
Bahamas The,BHS,401906.0,404557.0,406471.0,407906.0,409984.0,409984.0
Bahrain,BHR,1487340.0,1494188.0,1477469.0,1463265.0,1472233.0,1472233.0
Bangladesh,BGD,163683958.0,165516222.0,167420951.0,169356251.0,171186372.0,171186372.0
Barbados,BRB,279688.0,280180.0,280693.0,281200.0,281635.0,281635.0
Belarus,BLR,9438785.0,9419758.0,9379952.0,9302585.0,9228071.0,9228071.0
Belgium,BEL,11427054.0,11488980.0,11538604.0,11586195.0,11685814.0,11685814.0
Belize,BLZ,382066.0,389095.0,394921.0,400031.0,405272.0,405272.0
Benin,BEN,11940683.0,12290444.0,12643123.0,12996895.0,13352864.0,13352864.0
Bermuda,BMU,63918.0,63911.0,63893.0,63764.0,63532.0,63532.0
Bhutan,BTN,762096.0,767459.0,772506.0,777486.0,782455.0,782455.0
Bolivia,BOL,11606905.0,11777315.0,11936162.0,12079472.0,12224110.0,12224110.0
Bosnia and Herzegovina,BIH,3400129.0,3360711.0,3318407.0,3270943.0,3233526.0,3233526.0
Botswana,BWA,2451409.0,2499702.0,2546402.0,2588423.0,2630296.0,2630296.0
Brazil,BRA,210166592.0,211782878.0,213196304.0,214326223.0,215313498.0,215313498.0
British Virgin Islands,VGB,30335.0,30610.0,30910.0,31122.0,31305.0,31305.0
Brunei Darussalam,BRN,434274.0,438048.0,441725.0,445373.0,449002.0,449002.0
Bulgaria,BGR,7025037.0,6975761.0,6934015.0,6877743.0,6465097.0,6465097.0
Burkina Faso,BFA,20392723.0,20951639.0,21522626.0,22100683.0,22673762.0,22673762.0
